CD Marker,Gene Symbol
CD243,ABCB1
CD338,ABCG2
CD176,ABO
CD143,ACE
CD234,ACKR1
CD156c,ADAM10
CD156b,ADAM17
CD156a,ADAM8
CD97,ADGRE5
CD166,ALCAM
CD246,ALK
CD13,ANPEP
CD296,ART1
CD297,ART4
CD298,ATP1B3
CD292,BMPR1A
CD293,BMPR1B
CD147,BSG
CD157,BST1
CD317,BST2
CD272,BTLA
CD277,BTN3A1
CD88,C5AR1
CD191,CCR1
CD192,CCR2
CD193,CCR3
CD194,CCR4
CD195,CCR5
CD196,CCR6
CD197,CCR7
CD198,CCR8
CD199,CCR9
CD109,CD109
CD14,CD14
CD151,CD151
CD160,CD160
CD163,CD163
CD164,CD164
CD177,CD177
CD180,CD180
CD19,CD19
CD1a,CD1A
CD1b,CD1B
CD1c,CD1C
CD1d,CD1D
CD1e,CD1E
CD2,CD2
CD200,CD200
CD207,CD207
CD209,CD209
CD22,CD22
CD226,CD226
CD24,CD24
CD244,CD244
CD247,CD247
CD248,CD248
CD274,CD274
CD276,CD276
CD28,CD28
CD300a,CD300A
CD300c,CD300C
CD302,CD302
CD320,CD320
CD33,CD33
CD34,CD34
CD36,CD36
CD37,CD37
CD38,CD38
CD3d,CD3D
CD3e,CD3E
CD3g,CD3G
CD4,CD4
CD40,CD40
CD154,CD40LG
CD44,CD44
CD46,CD46
CD47,CD47
CD48,CD48
CD5,CD5
CD52,CD52
CD53,CD53
CD58,CD58
CD59,CD59
CD6,CD6
CD63,CD63
CD68,CD68
CD69,CD69
CD7,CD7
CD72,CD72
CD74,CD74
CD79a,CD79A
CD79b,CD79B
CD80,CD80
CD81,CD81
CD82,CD82
CD83,CD83
CD84,CD84
CD86,CD86
CD8a,CD8A
CD8b,CD8B
CD9,CD9
CD93,CD93
CD96,CD96
CD99,CD99
CD318,CDCP1
CD324,CDH1
CD325,CDH2
CD144,CDH5
CD66a,CEACAM1
CD66d,CEACAM3
CD66e,CEACAM5
CD66c,CEACAM6
CD66b,CEACAM8
CD301,CLEC10A
CD371,CLEC12A
CD367,CLEC4A
CD303,CLEC4C
CD368,CLEC4D
CD299,CLEC4M
CD369,CLEC7A
CD370,CLEC9A
CD35,CR1
CD21,CR2
CD355,CRTAM
CD115,CSF1R
CD116,CSF2RA
CD131,CSF2RB
CD114,CSF3R
CD152,CTLA4
CD181,CXCR1
CD182,CXCR2
CD183,CXCR3
CD184,CXCR4
CD185,CXCR5
CD186,CXCR6
CD55,CD55
CD167a,DDR1
CD167b,DDR2
CD26,DPP4
CD312,ADGRE2
CD105,ENG
CD249,ENPEP
CD203c,ENPP3
CD39,ENTPD1
CD340,ERBB2
CD361,EVI2B
CD321,F11R
CD142,F3
CD95,FAS
CD178,FASLG
CD351,FCAMR
CD89,FCAR
CD23,FCER2
CD64,FCGR1A
CD32A,FCGR2A
CD32B,FCGR2B
CD16a,FCGR3A
CD16b,FCGR3B
CD307a,FCRL1
CD307b,FCRL2
CD307c,FCRL3
CD307d,FCRL4
CD307e,FCRL5
CD331,FGFR1
CD332,FGFR2
CD333,FGFR3
CD334,FGFR4
CD135,FLT3
CD174,FUT3
CD65s,FUT7
CD173,FUT9
CD350,FZD10
CD344,FZD4
CD349,FZD9
CD224,GGT1
CD42b,GP1BA
CD42c,GP1BB
CD42d,GP5
CD42a,GP9
CD235a,GYPA
CD235b,GYPB
CD236,GYPC
CD365,HAVCR1
CD366,HAVCR2
CD168,HMMR
